
Num,Val
0,0
1,0
Num,Val
0,CLOSE
1,CLOSE
Num,Val
0,CLOSE
1,CLOSE
Num,Val
0,CLOSE
1,CLOSE
2,CLOSE
3,CLOSE
4,CLOSE
5,CLOSE
Num,Val
0,CLOSE
Num,Val
0,CLOSE
